ORF	5m	15m	30m	4h
CAGL0B03641g	0.125489118	-0.706319173	-1.199254348	3.989400803
CAGL0B03707g	-0.288527696	-0.711498493	-1.223381645	3.622871766
CAGL0B03795g	-0.138203963	-0.176476377	-1.585441709	2.022238439
CAGL0B03817g	-0.032440223	2.518411899	3.513200615	-4.135895144
CAGL0B03861g	-0.077060921	-0.625664656	-1.082048027	2.605848618
CAGL0B03993g	0.343998567	-0.271408451	-1.984330416	3.67486756
CAGL0B04059g	-0.177674872	0.43037036	2.044541598	-3.279751729
CAGL0B04125g	0.042116886	-0.407967336	-3.171155888	3.130220913
CAGL0B04147g	-0.066047129	-0.498309096	-1.079241185	2.518674715
CAGL0B04235g	-0.048591625	-0.706789822	-1.047868191	1.223264307
CAGL0B04323g	0.216054329	0.672845912	1.841665387	-4.603315616
CAGL0B04675g	-0.209733328	1.785256575	4.636676744	-2.264493036
CAGL0B04873g	-0.395676399	-1.013396668	-1.232049635	2.23091788
CAGL0B04895g	0.165663962	1.37640481	0.450989041	-1.036175781
CAGL0C00110g	0.094976063	0.717955874	1.671868439	-1.120964679
CAGL0C00275g	1.357201124	4.602437814	6.193543611	-1.690755549
CAGL0C00429g	-0.060038331	0.404302965	1.247612208	-2.261442523
CAGL0C00561g	-0.251041699	-1.133144207	-0.656182756	2.873246599
CAGL0C00715g	-0.424861756	-0.543119559	-1.645891467	1.074667815
CAGL0C00737g	-0.232651231	-0.942116565	-3.265358661	1.823493564
CAGL0C01221g	0.190022147	0.027075163	-1.156893113	1.121422761
CAGL0C01287g	0.002584985	-0.321283899	-1.65361016	3.286653013
CAGL0C01375g	0.20330813	0.509736624	1.04083104	-1.351495941
CAGL0C01441g	0.074459899	-0.393235108	-2.323251616	4.370501714
CAGL0C01771g	-0.140614978	0.64422566	3.400428617	-2.94928037
CAGL0C01925g	-0.193436281	-0.609269869	-2.294716987	3.303486506
CAGL0C02189g	-0.004729292	-0.219461624	-2.500304039	2.945803285
CAGL0C02299g	-0.439104977	-1.546502659	-2.748526467	1.816574151
CAGL0C02343g	-0.082626352	-0.33163315	-2.549508957	2.667109181
CAGL0C02585g	0.039016923	-0.38299549	-1.788967912	1.308546298
CAGL0C02739g	-0.122164178	-0.834559843	1.579021741	-4.649921265
CAGL0C02893g	0.310363102	2.870348231	1.669812017	-1.354975813
CAGL0C03069g	0.113765618	0.270171581	1.167860051	-2.347241736
CAGL0C03113g	0.054473005	0.420603384	1.909505177	-3.011658318
CAGL0C03267g	0.196049116	1.02677402	0.095993494	-1.221875224
CAGL0C03289g	-0.256553963	-0.897650462	-3.037585279	1.578632354
CAGL0C03355g	0.407287465	-0.544318871	-2.977526129	1.137444938
CAGL0C03531g	0.067629423	-0.214806391	-2.33816803	1.335251722
CAGL0C03630g	0.055304175	-0.259119504	-2.142665693	3.540907258
CAGL0C03696g	0.080289296	0.319006508	1.512180945	-1.233858735
CAGL0C03850g	0.216058815	0.746289711	1.603846612	-1.8319969
CAGL0C04092g	0.224275163	0.55507244	1.258136332	-1.29995063
CAGL0C04136g	-0.574773528	-1.69359645	-1.269861333	1.061090046
CAGL0C04191g	0.361804937	0.722539984	1.648616779	-3.782922525
CAGL0C04235g	-0.023266068	-0.401017218	-1.197203157	1.199598117
